Value,Designator,Footprint,LCSC Part #
100nF-100V-10%-0805,"C1, C11, C14, C16, C17, C18, C28, C3, C31, C32, C33, C34, C44, C47, C52, C55, C57, C6, C7, C8, C9",805,C28233
10nF-50V-10%-0603,"C10, C40, C46, C54",603,C57112
0.1uF,"C12, C13, C65, C66",603,C14663
560uF-100V-P7.5mm-D16mm,"C19, C20, C21, C22, C23, C24",CP_Radial_D16.0mm_P7.50mm,
1uF-100V-10%-1206,"C2, C41, C49",1206,C13832
10uF-100V-10%-2220,"C25, C30, C4, C43, C45, C5, C51, C53, C59, C60, C61, C62, C63, C64",2220,C2843466
47uF-16V-CASE_D,"C35, C36, C37, C38, C39",CP_EIA-7343-31_Kemet-D,C7227
100V-2A-214AC,"D1, D6, D7",D_SMA,C14996
GREEN-0805,D2,805,C2297
YELLOW-0805,D3,805,C2296
RED-0805,D4,805,C84256
60V-0.75V@3A-SMC,D5,D_SMC,C35722
600Ω@100MHz-25%-0603,FB1,603,C1002
MountingHole,"H1, H2, H3, H4",MountingHole_3.2mm_M3,
47272-0001,J1,MOLEX_47272-0001,C711350
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
Screw_Terminal_01x01,"J3, J4, J5, J7, J8",7466005R,
Conn_01x08,J6,RJ45_Molex_0855135013_Vertical,
Conn_02x07_Odd_Even,J9,PinHeader_2x07_P1.27mm_Vertical_SMD,C2881912
SolderJumper_2_Open,"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
Jumper,"JP3, JP4",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,
100uH-1A-20%-8x8mm,"L1, L2, L3",L_Sunlord_SWPA8040S,C83468
HYG017N10NS1TA,"Q1, Q2, Q3, Q4, Q5, Q6, Q7",Infineon_PG-HSOF-8-1_ThermalVias,C5205219
HYG017N10NS1TA,"Q10, Q11, Q12, Q13, Q8, Q9",Infineon_PG-HSOF-8-1_ThermalVias_GAPPED,C5205219
10kΩ-1%-0603,"R1, R19, R2, R20, R22, R24, R34, R35, R36, R37",603,C25197
27Ω-0603-1%,"R10, R11, R6, R9",603,C25190
100Ω-1%-0603,"R12, R13, R14, R18, R21, R23, R25, R7",603,C22775
10kΩ-0805-0.1%,"R16, R17, R26, R27, R30, R31, R54",805,C5159707
DNP 10kΩ-1%-0603,R3,603,
100kΩ-0805-1%,"R38, R55, R56, R57, R58, R59, R60",805,C149504
6.4kΩ-0805-0.1%,R39,805,C865510
47Ω-1%-0603,"R4, R5",603,C23182
3.6kΩ-0805-1%,R40,805,C351568
2x10kΩ-0805-0.1%,R41,805,C5159707
10Ω-0603-1%,"R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53",603,C22859
300uΩ-2726-1%,"R61, R62, R63",BVBMR00110,C481539
SW_DIP_x01,"SW1, SW2",TS1187ABAB,C318884
DNP LM4040DBZ-2.5 ,U1,SOT-23,
LM2591HVS-12,U10,TO-263-5_TabPin3,C434500
AMS1117-5.0,U11,SOT-223-3_TabPin2,C6187
IRS21867S,"U12, U14, U3",SOIC-8_3.9x4.9mm_P1.27mm,C7432820
CSA231MA,"U13, U15, U8",TSSOP-8_4.4x3mm_P0.65mm,C5359409
TPD2E2U06,U16,SOT-553,C1972959
LM5060,U17,MSOP-10_3x3mm_P0.5mm,C2676940
STM32G431CBUx,U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C529356
ISO1050DUB,U4,SOP-8_6.62x9.15mm_P2.54mm,C16428
SN65LVDS31D,U5,SOIC-16_3.9x9.9mm_P1.27mm,C1508988
SN65LVDS33D,U6,SOIC-16_3.9x9.9mm_P1.27mm,C1508989
ADUM4160,U7,SOIC-16W_7.5x10.3mm_P1.27mm,C57791
AMS1117-3.3,U9,SOT-223-3_TabPin2,C6186
